Bild uuid,Gruppe,Deutscher Artikelname,Nettogewicht,Preis in €,Eiweiß in g (auf 100g),Eiweiß in g (Pro Stück),Russischer Artikelname
553303ca-6684-44e4-ae98-1af27539dd3a,Huber,Spitzbuben,250g,10.45   ,1.0,,Печенье двойное с повидлом
3a6cad9c-1293-4753-8103-4bade99d87ff,Huber,Spekulatius,250g,8.60   ,1.0,,Печенье песочное с шоколадом
82da770f-6711-4c01-8db1-12ba00208443,Huber,Teegebäck/Weinachtsmishung,200g,11.70   ,0.6,,Печенье ассорти 
ba874587-f248-43ce-be7e-91c4687c8889,Huber,Filinchen,75g,2.49   ,0.5,,"Хлебцы хрустящие, не воздушные"
8ba51243-7da6-45db-8c49-794eaf6ba69a,Huber,Salzsticks,70g,3.70   ,0.7,,Соленые палочки
77221f0b-5375-4ab8-a303-d6365df107e3,Huber,Joghurt-Erstzpulver,360g,12.60   ,0.0,,Заменитель йогурта
6a64ef29-abf1-4b59-a3ee-dafdab727f30,Huber,Grundmehlmischung,1000g,10.15   ,0.3,,Мука
9a1b5ab3-7043-4527-9c0d-1555c11d616b,Huber,Biskuitmehl-Mischung,1000g,10.15   ,0.5,,Бисквитная мука
320f6692-13bb-4a66-9f47-856d62b3960e,Huber,Oberpfälzer Molkebrotmischung,500g,7.99   ,0.5,,"Мука для ""кислого"" теста, очень хороша для пиццы"
1396d82c-eefb-40b0-802d-fbe51a7dd7a6,Huber,Paniermehl,250g,6.15   ,0.5,,Панировочные сухари
c89c5ba6-d9cb-479e-9608-a5d968b84539,Huber,Bio-Gummibären,100g,2.90   ,"<0,2",,Желейные конфеты Био
8aefa89b-1d21-4d7b-b13f-6a5e51585997,Huber,Bio-Saure Würmer,100g,2.90   ,"<0,2",,Желейные конфеты с кислой посыпкой Био
6ceae57b-73fc-4c67-a0ad-4216d2664221,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr. Classik,150g,3.90   ,0.0,,Сыр пластинами класический
996ca96d-9e1e-4c0b-9fdf-8f47786814d4,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr.  Kreuter,150g,3.90   ,0.0,,Сыр пластинами с травами
bc462624-0562-4970-a7dc-727863dc9640,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr. Tomat Basilikum,150g,3.90   ,0.5,,Сыр пластинами с томатом и базиликом
6a943c56-0202-4d4d-8f4a-9b8f643d53d7,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr. Paprika ,150g,3.90   ,"<0,5",,Сыр пластинами с паприкой
5cc28211-12a4-4ee9-9c3b-8cd9c023b816,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr.  Queen-Style,150g,3.90   ,0.0,,"Сыр пластинами ""чеддер"""
1e16c36b-16a2-4700-a782-6bb2d25b2058,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr.  Pilze,150g,3.90   ,"<0,5",,Сыр пластинами с грибами
992db9b1-8241-4b8a-9d62-037a192abfc4,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr. Würzig,150g,3.90   ,0.0,,Сыр пластинами пикантный
e6106641-d317-4745-b307-3086118d2c93,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr.  Chili,150g,3.90   ,"<0,5",,Сыр пластинами с чили
49b8f298-4d90-4633-b409-ddece1de751d,Käse Alternative / Сырные продукты: Wilmersburger ,"Wilmersburger Käse Altrn, gerieben",250g,4.50   ,0.0,,Сыр тертый
c40abdb2-14f3-480f-929f-227af7aa6dfe,Käse Alternative / Сырные продукты: Wilmersburger ,"Wilmersburger Käse Altrn, gerieben",1000g,14.50   ,0.0,,Сыр тертый
327a24ee-2c92-4cac-87a5-98f7adaa83a5,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr. Classik,300g,6.80   ,0.0,,"Сыр брусок ""Класический"""
1ba91325-8442-41d7-ab0c-0424704c91f5,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr.  Queen-Style,300g,6.80   ,0.0,,"Сыр брусок ""Чеддер"""
75304367-92ee-427f-8fb1-786ec646560c,Käse Alternative / Сырные продукты: Wilmersburger ,Wilmersburger Käse Altr. Würzig,300g,6.80   ,0.0,,"Сыр брусок ""Пикантный"""
aa32e94f-e45b-4182-be50-a06138db8d5d,Käse Alternative / Сырные продукты: Bedda,Bedda Scheiben Classik,150g,3.90   ,0.0,,"Сыр пластинами класический, содержит кальций и витамин B12"
5ebd734e-8dd7-45ab-9468-bd09af3b665a,Käse Alternative / Сырные продукты: Bedda,Bedda Scheiben Pfeffer,150g,3.90   ,0.0,,"Сыр пластинами с перцем, содержит кальций и витамин B12"
bca9c543-10ba-4ffa-b5d7-7564080b2443,Käse Alternative / Сырные продукты: Bedda,Bedda Scheiben British Style,150g,3.90   ,0.0,,"Сыр пластинами ""чеддер"", содержит кальций и витамин B12"
492c46cf-49ed-4cca-9823-8ca6f078b03a,Käse Alternative / Сырные продукты: Bedda,Bedda Scheiben Zicke,150g,3.90   ,0.0,,"Сыр пластинами ""Козий"", содержит кальций и витамин B12"
a407d3c3-5221-47b6-bdf1-abe581131950,Käse Alternative / Сырные продукты: Bedda,Bedda Scheiben Bockshornklee,150g,3.90   ,0.0,,"Сыр пластинами  ""Маасдамер"", содержит кальций и витамин B12"
7b4d82f4-dd67-4341-b87e-99a420925fe1,Käse Alternative / Сырные продукты: Bedda,Bedda Scheiben zum Schmelzen,180g,4.30   ,1.3,,"Сыр пластинами  ""раклет"", отлично плавится, содержит кальций и витамин B12"
9ce68276-0cc8-443b-bce4-5280c002ec76,Käse Alternative / Сырные продукты: Bedda,Bedda Reiberei ,150g,3.90   ,1.3,,"Сыр тертый, содержит кальций и витамин B12"
19b2b64c-8539-4b58-8d56-09b64a74b3a0,Käse Alternative / Сырные продукты: Bedda,Bedda Reiberei ,1000g,14.30   ,1.3,,"Сыр тертый, содержит кальций и витамин B12"
f5cbbc36-64fb-4cb1-887f-1211598d486b,Käse Alternative / Сырные продукты: Bedda,Bedda Granvegano,100g,3.50   ,0.7,,"Сыр тертый ""пармезан"", содержит кальций и витамин B12"
48d55afd-7b97-40ac-b8ad-e552f66f8bbe,Käse Alternative / Сырные продукты: Simply V,Simply Natur,150g,3.90   ,"<0,5",,Сыр пластинами класический
45228b79-0a28-4e3a-a4a9-75dac96704d6,Käse Alternative / Сырные продукты: Simply V,Simply Nussig,150g,3.90   ,"<0,5",,"Сыр пластинами, ореховый вкус"
9071f44f-6185-47b8-a776-403114a8172c,Käse Alternative / Сырные продукты: Simply V,Simply Burger Scheiben,150g,4.90   ,"<0,5",,"Сыр пластинами, для бургера хорошо плавится"
fc3758fd-8050-45c5-9301-f307c9aa5384,Käse Alternative / Сырные продукты: Simply V,Simply Würzige ,150g,3.90   ,0.8,,Сыр пластинами пикантный
664fa733-e568-4c79-bcb1-9f2cac771fa4,Käse Alternative / Сырные продукты: Simply V,Simply Veganer Reibegenus Natur,180g,3.90   ,3.2,,Сыр тертый
cd80d2ff-2edf-44c4-b648-194077a76f03,Käse Alternative / Сырные продукты: Simply V,Simply Grill Herb ,150g,3.90   ,5.7,,"Сыр ""для гриля"" с травами"
7af7ef68-eb2c-4b6d-9124-d157df314975,Käse Alternative / Сырные продукты: Simply V,Simply Grill Tomato,150g,3.90   ,5.7,,"Сыр ""для гриля"" с помидорами"
2e67ddc2-c395-4dbc-846e-ed84b26403c9,Käse Alternative / Сырные продукты: Violife,"VioLife, Gouda",140g,3.70   ,0.0,,Сыр пластинами Гауда
f5f2acef-3d53-4fff-8398-e39101ca9e41,Käse Alternative / Сырные продукты: Violife,"VioLife, Mozarella",140g,3.70   ,0.0,,"Сыр пластинами ""Моцарелла"""
f9edd203-bbe4-4d1a-b18f-7df864101528,Käse Alternative / Сырные продукты: Violife,"VioLife, Raucharoma",140g,3.70   ,0.0,,"Сыр пластинами ""Копченный"""
0775c40d-1fa9-4384-b792-7cc9c212fb25,Käse Alternative / Сырные продукты: Violife,"VioLife, Cheddar",140g,3.70   ,0.0,,"Сыр пластинами ""чеддер"""
63bd4a87-972c-41f2-9d7f-8b6345f43073,Käse Alternative / Сырные продукты: Violife,"VioLife, Emmentaler",140g,3.70   ,0.0,,"Сыр пластинами ""Масдамер"""
04fcad8c-b6f6-4a92-940b-873857961999,Käse Alternative / Сырные продукты: Violife,"VioLife, gerieben",1000g,15.99   ,0.0,,Сыр тертый
507f4614-b0d4-4bb0-9abb-d02dafd8826b,Käse Alternative / Сырные продукты: Violife,"VioLife, gerieben",200g,3.90   ,0.0,,Сыр тертый
4e6f1aff-00ae-4504-aac6-fcd1daa76af6,Käse Alternative / Сырные продукты: Violife,"VioLife, Creamy Original",150g,3.80   ,0.5,,"Сыр намазка ""натуральный вкус"""
94e51dbb-c1f3-4daf-ae42-1885a50a81ee,Käse Alternative / Сырные продукты: Violife,"VioLife, Creamy with herbs",150g,3.80   ,0.7,,Сыр намазка с травами
b882745a-4926-4f20-87b2-e1c87079f854,Käse Alternative / Сырные продукты: Violife,"VioLife, Block Cheddar",400g,6.90   ,0.0,,"Сыр брусок ""Чеддер"""
5a28375c-f443-469d-8674-1856ee44ded6,Käse Alternative / Сырные продукты: Violife,"VioLife, Block Mozarella",400g,6.90   ,0.0,,"Сыр брусок ""Моцарелла"""
e716fd5b-d464-46b4-ab6c-16978ed36f80,Käse Alternative / Сырные продукты: Violife,"VioLife, Block ""For Pizza"" ",400g,6.90   ,0.0,,"Сыр брусок ""Для пиццы """
c107da80-b1ca-49b6-b9bb-f13d48a38831,Käse Alternative / Сырные продукты: Violife,"VioLife, Block Prosociano",150g,6.50   ,1.6,,"Сыр брусок ""Пармезан"""
53659856-6951-4492-84e6-4b739e61ab91,Käse Alternative / Сырные продукты: Violife,"VioLife, Greek White",160g,4.70   ,0.7,,"Сыр ""Фета"""
5b73c048-1a24-4f1d-817d-9cf3bdf45fac,Käse Alternative / Сырные продукты: Violife,"VioLife, Mediterranean",160g,4.70   ,0.7,,"Сыр ""для гриля"""
e3a8501d-e46e-457f-a5c2-037621a4cf17,Käse Alternative / Сырные продукты: Violife,"VioLife, Le Rond",150g,5.20   ,0.0,,Сыр Камамбер
8e443fbc-69b8-4d8b-86c0-5ad3f34fab40,Käse Alternative / Сырные продукты: Violife,"VioLife, Greek White",1380g,18.00   ,0.7,,"Сыр ""Фета"""
a1f8b481-5910-4c2b-ac34-bd94e2417ecc,Käse Alternative / Сырные продукты: Violife,"VioLife, Block Mozarella",2500g,32.50   ,0.0,,"Сыр брусок ""Моцарелла"""
848ab100-075d-45a3-958b-e5f1130dc051,Käse Alternative / Сырные продукты: Violife,"VioLife, Cocospread",150g,3.90   ,1.5,,Шоколадная паста
2eb07d77-092a-40b5-ab9d-c8df0ae58859,Käse Alternative / Сырные продукты: Violife,Jeezo Swiss,400g,8.60   ,,,"Сыр по типу швейцарского, куском "
404c6a96-65c6-400e-8c5f-2859cf38bc74,Käse Alternative / Сырные продукты: Violife,Jeezo Celtic,400g,8.60   ,,,Сыр куском 
fa4ed65b-7443-4d12-8789-b1944f27b9b7,Käse Alternative / Сырные продукты: Violife,Jeeso Santi Block,400g,8.60   ,,,Сыр куском 
0cef075e-1142-46bb-8a2f-ad32e2b62c24,Свежая продукция,Schott Kartoffelwürstchen,400g,10.50   ,,,Сосиски свежие 10 шт в упаковке 
da9554c7-5207-455b-af45-80bcb48438a8,Свежая продукция,Veggi- Fleischwurst-Stangenwurst,200g,4.90   ,8.0,,"Колбаса вареная типа докторской ""мясная"", палка (пересылка возможна только в холодное время!)"
6f66ac2c-0ee0-4b61-9b1f-4d377c5d0361,Свежая продукция, Vegane-Schinken-Stangenwurst,175g,4.50   ,7.9,,"Колбаса типа докторской "" мясная""(пересылка возможна только в холодное время!)"
ed5a4863-eea4-4a2d-8943-df0a746beaf5,Свежая продукция,Veggane Fleischwurst,175g,4.50   ,4.0,,"Колбаса типа докторской "" мясная""(пересылка возможна только в холодное время!)"
6fd37eca-67f7-4116-aa32-9b7ef9afed13,Свежая продукция,Vegganer Raucherlaxx,100g,3.50   ,0.7,,"""Лосось веганский копченый"" (пересылка возможна только в холодное время!)"
43c80956-c854-424c-9233-cb1f4e285593,Свежая продукция, Veg. Schinken Spicker Mortadella,80g,2.70   ,2.2,,Лионская колбаса в нарезке (пересылка возможна только в холодное время!)
c8e774cf-8d8b-4ebd-b7a4-673372b0fc46,Свежая продукция, Veg. Schinken Spicker Paprika,80g,2.70   ,7.8,,Лионская колбаса в нарезке с паприкой (пересылка возможна только в холодное время!)
504ed8d2-ae36-4c63-a442-56b239eb240c,Свежая продукция, Veg. Schinken Spicker Schnittlauch,80g,2.70   ,7.8,,Лионская колбаса в нарезке с зеленым луком (пересылка возможна только в холодное время!)
810a2507-66bf-4db5-8d33-ed84daa5d3a0,Свежая продукция,Veg. Schinken Spicker Grillgemüse,80g,2.70   ,4.7,,Мотаделла колбаса в нарезке с овощами гриль (пересылка возможна только в холодное время!)
179ff365-e80f-4af9-87f5-9a893206ced0,Свежая продукция,Veg. Schinken Spicker Salami,80g,2.70   ,7.8,,Салями колбаса в нарезке (пересылка возможна только в холодное время!)
bbfd5719-62bc-437a-a349-f0f460c0e509,Свежая продукция,Vegetarische Pommersche Schnittlauch,125g,3.50   ,7.2,,Паштет с зеленым луком
4aa3915c-4e7b-4522-9270-fbd55b5d683b,Свежая продукция,Vegetarische Pommersche Fein,100g,3.00   ,2.4,,"Паштет ""нежный"""
b0d7251f-d4a5-45f6-80e7-63ee96f7503c,Свежая продукция,Bio Burger Gemüse,200g,3.90   ,5.9,,Готовая котлета/бургер с овощами
b9e97c9f-ba41-4a11-975b-91d598c1e0a0,Свежая продукция,Bio Burger Grünkern,200g,3.90   ,5.9,,Готовая котлета/бургер ростками
07dc443c-4614-4428-9ae6-8c225cd61fed,Taranis,Taranis Burger ,248g,19.50   ,,,Смесь для котлет фирмы Таранис
1e5e2f9d-5bc8-4f10-adc6-04be9e063f6b,Taranis,Taranis Fisch-Stäbchen-Ersatz,248g,19.50   ,,,Смесь для рыбных палочек фирмы Таранис
4a839917-d3f4-402f-9999-0f17283f161e,Taranis,Taranis Dalia PKU-Milch,4800g,43.00   ,,,Жидкое молоко упаковка 24 пачек
77ff737a-8669-423c-b276-84e4e28dc1d9,Taranis,Taranis Vanille-Schokoladen Dessert,95g,6.45   ,,,Ванильно-шоколадный десерт фирмы Таранис
e4e2f65e-9116-43b2-9bb7-e6afa553680e,Taranis,Taranis Dessert Drink - Vanille,400g,19.40   ,,,Ванильный десерт -напиток фирмы Таранис
bc39b719-196c-4c42-8ef9-69e7654d5dad,Taranis,Taranis Dessert Drink - Erdbeer,400g,19.40   ,,,Клубничный десерт -напиток фирмы Таранис
5e15f0ed-8da7-464b-91f9-3fe34971bf1f,Taranis,Taranies Crepes und Waffeln,300g,10.40   ,,,Смесь для вафель фирмы Таранис
281beacc-90fc-4715-b0e2-240ede779103,Taranis,Taranies Cake Zitrone,240g,7.95   ,,,Кексы лимонные
74b1b7c0-6c0c-48a9-9647-cc49f5c6e2bf,Taranis,Taranies Cake Aprikosen,240g,7.95   ,,,Кексы абрикосовые
337152a4-410b-4a22-9e78-d1c421de28b4,Разное,Chicken nugget eiweissarm,680g,47.00   ,,,"Смесь для ""куриных"" котлет  производство Америка"
fcbdd8cd-1028-48d7-93ce-c208c24b0120,Разное,amlet  eiweissarm,454g,32.00   ,,,Сместь для омлета производство Америка
975fbfe1-f774-447e-b4c5-9882a7bc9c6b,Разное,Kaba Vanille,400g,3.90   ,0.0,,Напиток со вкусом Ваниль (порошек)
6de05c5c-2bd8-4567-8ace-12200a4a2a0c,Разное,Kaba Erdbeer,400g,3.90   ,0.0,,Напиток со вкусом Клубники (порошек)
17f53601-e858-4fc5-a8e2-5151e64c86ff,Разное,Kaba Himbeer,400g,3.90   ,0.0,,Напиток со вкусом Малины (порошек)
27c4c17e-69cb-4810-b749-16cb84e1203d,Разное,Kaba Banan,400g,3.90   ,0.0,,Напиток со вкусом Банана (порошек)
bba216f5-beaa-4c16-9406-53b8aa6d5567,Разное,Kaba Kakao,400g,3.90   ,4.7,,Напиток со вкусом Какао (порошек)
7bebe582-991f-4884-9381-716185a2430d,Разное,Madame Loulou Ginger Bread,400g,3.90   ,1.0,,Смесь для выпечки пряников производство Италия
618cc502-700f-4ffc-8ba1-122fefe4e3bc,Разное,Karamell Brownie Mix,400g,5.30   ,,,Смесь для карамельного брауни (пирога) 
cbe8411c-2ed3-4cd5-87d9-f7848b081b7b,Разное,Schoko Brownie Mix,400g,5.30   ,3.4,1.0,Смесь для шоколадного брауни (пирога) 
29104222-ae65-4b0f-b6ac-e62e430e8f89,Разное,American Panecake Mix,450g,4.50   ,2.5,,Смесь для американского панкейка 
dfa099ae-5333-41ad-ae39-41b7f7211793,Разное,Hubba Buba,60g,2.00   ,0.0,,"Жевачки с разными вкусами, малина, клубника, кола и красящие язык"
f02db246-9a46-4479-b8be-c0c1f3a5f376,Разное,Tubble Gum ,35g,1.30   ,0.0,,"Жевачки в тюбиках с разными вкусами, малина, вишня, кола и красящие язык"
da9b6fff-bc79-4c7b-be66-35a77686b5bc,Разное,Fini Burger Gum,80g,1.90   ,0.0,,Жевачка с жидкой начинкой в виде бургеров
cacce0d5-3e51-414a-a57c-b1d87116c690,Разное,Gnocchi Alnavit,250g,3.15   ,1.6,,"Полуфабрикат Ньокки, без глютена "
cbda40fd-289d-4886-a7fe-534da4a3f92e,Разное,Jackfruit,200g,4.50   ,1.3,,Джекфрукт кусочками 
18dd7f20-de72-44b7-be3d-0046e243272c,Разное,Jackfruit Curry,200g,4.50   ,1.3,,Джекфрукт в соусе карри 
aaac1bf3-f95f-48ac-adcd-45fb9c338944,Разное,Jackfruit Gulash,200g,4.50   ,1.3,,Джекфрукт в соусе гуляш
b3b233e0-6aa5-483e-92cd-f556b495d049,Разное,Jackfruit BBQ,200g,4.50   ,1.3,,Джекфрукт в соусе барбекю
4f99cdd8-fd36-42a0-b8b5-5547a340b828,Разное,Biovegan Cinnamon Rolls,450g,5.20   ,2.6,,Смесь для изготовления булочек с корицей
053c3be7-25b7-49ce-957c-33cf33b661ec,Разное,Mais Tortilla ,180g,3.50   ,4.5,0.7,Тортилья
dc640215-911d-4798-b809-0f6087d81efa,Разное,Natur Green Kakao,200ml,1.20   ,0.7,,"Жидкое какао, порционное, 1 пачка"
21df27b3-7e78-4fce-80ae-e8d1ee8e97b8,Разное,Cappuccino Classik (10 Stück),150g,4.30   ,1.6,0.2,"Капучино сухой порошек, в порционных пакетиках, без лактозы"
1389490f-286f-4201-bf7f-fd24f16dad46,Разное,Cappuccino Schoko (10 Stück),150g,4.30   ,2.5,0.4,"Капучино шоколадное, сухой порошек, в порционных пакетиках, без лактозы"
77170873-d5c3-42df-b586-52a30c873540,       NATUR COMPAGNIE: Супы и не только,"Snack Soup Tomate, Bio",54g,3.65   ,0.3,,"Суп быстрого приготовления  ""Томатный"", Био, 3 пакетика * 18 гр"
228e7db3-7b75-4cf3-a46a-926023ef0faf,       NATUR COMPAGNIE: Супы и не только,"Snack Soup Gemüse, Bio",54g,3.65   ,0.5,,"Суп быстрого приготовления ""Овощной"", Био, 3 пакетика * 18 гр"
c5e93fef-ad0e-498e-b012-31f9156b1f34,       NATUR COMPAGNIE: Супы и не только,"Snack Soup Frühling, Bio",34g,2.45   ,0.4,,"Суп быстрого приготовления ""Весенний"", Био, 2 пакетика * 17 гр"
9f7d2946-f625-4beb-bfc7-d4482afb46de,       NATUR COMPAGNIE: Супы и не только,Snack Cup Veggi Noodle Soup,50g,2.45   ,2.4,,"Суп с макаронами быстрого приготовления, заливной в банке, ""С лапшей"", Био"
4d6ab18d-6a44-4727-b872-30c4d972aeb1,       NATUR COMPAGNIE: Супы и не только,Snack Cup Veggi Pasta Napoli,59g,2.45   ,2.4,,"Суп/макароны быстрого приготовления, заливной в банке, ""Паста Наполи"", Био"
4dfb88de-47b3-4b67-8560-d223c8fbeed8,       NATUR COMPAGNIE: Супы и не только,Snack Cup Veggi Asian Style,55g,2.45   ,2.4,,"Суп быстрого приготовления, заливной в банке, ""Азиатский с овощами "", Био"
2ae1bd8c-d513-48ef-8492-8b0756ce5acd,       NATUR COMPAGNIE: Супы и не только,Snack Cup Couscous Oriental Style,68g,2.45   ,2.8,,"Кус кус быстрого приготовления, заливной в банке, ""Восточный вкус "", Био"
f23917d5-93fd-4917-be31-f63dba1dba98,Намазки для бутербродов ,Nuss Nugat Creme,400g,4.00   ,2.4,,Шоколадная паста c 10 % фундука
084692ad-f65b-4f67-bdf7-a666f4ec7b78,Намазки для бутербродов ,Schokocreme Twix,350g,5.80   ,2.8,,Шоколадная паста Twix
6c2007cf-2436-41bd-863e-44c2db1ae4e2,Намазки для бутербродов ,Schokocreme Mars,350g,5.80   ,3.1,,Шоколадная паста Mars
6acc6916-3873-4e04-9070-8bd2ea180cbf,Намазки для бутербродов ,Schokocreme Bounty,350g,5.80   ,2.8,,Шоколадная паста Bounty
5ff917b4-0184-467a-a61b-12778a26217b,Намазки для бутербродов ,Schokocreme Milky Way,350g,5.80   ,3.3,,Шоколадная паста Milky Way
0f5bbcaa-89cf-4cae-ac3e-13ba6d8b7307,Намазки для бутербродов ,SchokoMac,300g,4.50   ,2.6,,Шоколадная паста
8a111b98-1f7a-4d34-914d-55a3f76f85b1,Намазки для бутербродов ,Vitaness veganer Brotaufstrich,100g,4.00   ,"2,5-2,8",,"Намазка для бутербродов овощная, 3 разных вкуса"
ab6fe1d3-fcff-4b9e-b108-1047412fcd28,"Десерты, Мороженное и тд ",Schlagfix Schokotraum-Spray-Dose ,200ml,3.65   ,0.5,,Сливки шоколадные в виде спрея
2d75a5da-611b-4ec6-8270-84bff94c1640,"Десерты, Мороженное и тд ",Schlagfix-Spray-Dose,200ml,3.25   ,0.0,,Сливки в виде спрея
eaf64d45-8caa-4936-9e47-7babd563c9ea,"Десерты, Мороженное и тд ",Schlagfix,200ml,1.45   ,0.0,,Сливки в тетрапаке
59715c7b-e69a-441a-8cf7-188c1d48091b,"Десерты, Мороженное и тд ",Chocolate & Cream Dessert Coconut collab,120g,3.00   ,1.5,,Шоколадносливочный десерт 2 шт*60гр
b3d21053-9383-4c49-b0a1-4e4a35043ad4,"Десерты, Мороженное и тд ",Chocolate Dessert  Coconut collab,180g,4.20   ,2.5,,Шоколадный десерт 4 шт*45гр
e7f5401a-3c9f-4f9b-a9b3-c5817ffb86b0,"Десерты, Мороженное и тд ",Dessert Salted Caramel Coconut collab,180g,4.20   ,2.2,,Десерт соленая карамель 4 шт*45гр
14b7cec8-3afa-4c03-9e4b-aba5941dee9c,"Десерты, Мороженное и тд ",Chocolate Melt in the Middle Coconut collab,180g,5.60   ,2.5,,Шоколадное пироженое Лава с жидким шоколадом внутри  2 шт*90гр
5e8f6ac9-04e5-4d01-83b8-f48de5bedef2,"Десерты, Мороженное и тд ",Biovegan Eis-Traum Vanille,77g,3.80   ,0.2,,"Смесь для приготовления ванильного мороженного,  Био "
3c7a649c-0662-45dc-917d-e131dbe66c56,"Десерты, Мороженное и тд ",Biovegan Eis-Traum Schoko,68g,3.80   ,2.0,,"Смесь для приготовления шоколадного мороженного,  Био "
d46e44d1-8414-4050-a9ed-3a56394c1084,"Десерты, Мороженное и тд ",Biovegan Vanille Sause ,32g,3.20   ,0.7,,"Смесь для приготовления ванильного соуса,  Био "
ee6357fa-042c-4838-9a3a-6a376c18f34e,"Десерты, Мороженное и тд ",Biovegan Dessert Vanille Creme ,52g,3.20   ,0.7,,"Смесь для приготовления ванильного кремдесерта без варки,  Био "
059875a4-4a13-49c7-809b-5d2bc65e9cd3,"Десерты, Мороженное и тд ",Biovegan Dessert Creme Schoko,68g,3.20   ,3.7,,"Смесь для приготовления шоколадного кремдесерта без варки,  Био "
