Bild uuid,Gruppe,Deutscher Artikelname,Nettogewicht,Preis in €,Eiweiß in g (auf 100g),Eiweiß in g (Pro Stück),Russischer Artikelname
ff00e068-0a94-418a-9a51-a38042a80422,Шоколад,Curly Wurly ,21g,0.60   ,3.0,,Шоколад с карамелью
d81853bd-622d-44c0-8d7b-a2bd48863808,Шоколад,Daim ,56g,1.30   ,3.0,,Шоколад с карамелью
370d9f46-ca8e-4ce7-a7c5-d8e802cde7ec,Шоколад,Daim Latte,56g,1.30   ,2.9,,Шоколад с карамелью и с ноткой Латте
0a0c9129-a95b-4884-9114-65d8cc9dc34c,Шоколад,Daim Orange,56g,1.55   ,2.9,,Шоколад с карамелью и с ноткой апельсина
75fc2d61-b0ce-4b90-aa8b-8f8291ad7acd,Шоколад,Fudge,22g,0.90   ,2.3,0.5,Шоколад с карамельной прослойкой
e514bda0-007c-469b-962b-58a3fecedcc3,Шоколад,Chomp ,21g,0.90   ,2.8,0.6,"Батончик шоколадный,  а-ля Milky Way"
d22a1a34-b348-44a1-ace0-9c7f0ea96c8b,Шоколад,Crunchie,40g,1.95   ,3.1,1.2,Батончик шоколадный с хрустящим карамелизированным бизе 
15ebcb0b-f3ff-42d6-8721-a5112c5ce783,Шоколад,Wispa ,67g,2.60   ,1.5,,Батончик пористого молочного шоколада с жидкой карамельной начинкой 
8d014e0e-ad00-4625-aa49-890e37590134,Шоколад,Vantastic Monsters,125g,3.90   ,1.4,,"Шоколадное драже, по типу M&M"
50f7153a-779f-4a29-bd78-056e99ee64d0,Шоколад,Schokobons,180g,3.30   ,2.2,,"Шоколадые шарики, молочный шоколад "
8ecf3b49-4c29-44bf-97be-18c34c2a20d3,Шоколад,Böhme Orangen Creme-Schokolade,100g,1.50   ,2.2,,Шоколадная плитка с апельсиновой начинкой
d5ba3042-6083-48bc-b15c-fb4595da47a2,Шоколад,Böhme Himbeer Creme-Schokolade,100g,1.50   ,2.2,,Шоколадная плитка с малиновой начинкой
15fd9511-6cfb-4527-a1fd-a8c7ea700db1,Шоколад,Böhme Erdbeer Creme-Schokolade,100g,1.50   ,2.2,,Шоколадная плитка с клубничной начинкой
e4f0ae2a-706f-4a84-9544-52af6a8085d7,Шоколад,Schokoladen Kränze,200g,2.40   ,3.0,,"Рождественские веночки, шоколад в посыпке"
b16fb95d-cb4d-4d1a-9f32-d4a9ab111a4f,Шоколад,Schokoladenplätzchen,200g,2.40   ,3.0,,"Рождественские капельки, шоколад в посыпке"
12d7e518-5159-4adf-bdae-cc6a5c857b04,Шоколад,Fondant,175g,3.30   ,0.7,,"Рождественские фигурки, помадка в шоколаде"
9878fe49-f225-4254-aa6d-ac3375b52f68,Шоколад,Choko- Mint,200g,2.20   ,2.4,,Шоколадное драже в ментоловой оболочке
57b06854-13c5-4e34-bd17-66c51cadc955,Шоколад,Domino,200g,2.20   ,3.0,,Пряничные конфеты в шоколаде
4222069a-286a-41ca-8d24-b6486b6b5279,Шоколад,Domino,125g,1.80   ,3.0,,Пряничные конфеты в шоколаде
7c04f1dc-6039-465d-84c8-86fa0ef76dd9,Шоколад,Schogetten Vanille Erdbeer,125g,4.60   ,2.4,,"Шоколадные мини батончики с начинкой ""ваниль клубника"""
173d4bf3-74ef-4444-b2ef-f3b9824c71c6,Шоколад,Schogetten Salz Karamell,125g,4.60   ,2.7,,"Шоколадные мини батончики с начинкой ""карамель с солью"""
ce2f14c6-8f0d-4588-8b4f-7b63b5454af8,Шоколад,Schogetten Cocoa Cookie,125g,4.60   ,3.0,,"Шоколадные мини батончики с начинкой ""шоколад с печеньем"""
cd9f7dd5-28bc-4fc6-859a-e64e84c5153f,Шоколад,Schogetten Adwentskalender,300g,13.00   ,2.7,,Рождественский шоколадный календарь с мини батончиками разной начинки  (сезонный артикль)
e6445c98-45e6-4a64-b3f5-02a588521b65,Шоколад,Moo Free Oskar The Bear,80g,6.50   ,2.0,,"Рождественский шоколадный мишка (сезонный артикль), без глютена"
5db936f0-30f4-463d-acf4-be61a352199b,Шоколад,Moo Free Weihnachtskalender,70g,6.50   ,2.2,,Рождественский шоколадный календарь (сезонный артикль)
dfab9a5d-722f-451e-bd13-46c029d26b9d,Шоколад,Moo Free Weihnachtskalender weiss ,70g,6.50   ,1.7,,Рождественский шоколадный календарь с белым шоколадом (сезонный артикль)
4c2c5df5-52be-419c-a5b7-8918de913c00,Шоколад,Moo Free Selection Box,80g,5.80   ,2.2,,Рождественский шоколадный набор фигурок  (сезонный артикль)
a35fcf08-2749-4581-b6fc-ed58401dc239,Шоколад,Moo Free Weihnachtsmann,32g,2.20   ,2.2,,Рождественский шоколадная фигурка деда мороза  (сезонный артикль)
5864305d-6855-4248-940f-f05850885c32,Шоколад,Bio Christmas Tree Himbeer Kokos,90g,5.00   ,2.3,,"Рождественская шоколадная елка с малиной и кокосом   (сезонный артикль), без лактозы"
22c6de1a-5a43-4527-8b9e-f60dbb02d267,Шоколад,Bio Weihnachtsbaum Confetti,90g,5.00   ,2.3,,"Рождественская шоколадная елка с драже   (сезонный артикль), без лактозы"
3cc0bb67-1551-4ba7-a1b0-3e423a7aef5d,Шоколад,Bio Weihnachtsbaum Confetti weiss,90g,5.00   ,0.2,,"Рождественская шоколадная елка с драже белый шоколад   (сезонный артикль), без лактозы"
663db5ba-cb9c-405d-bc10-f81dcade7a1f,Шоколад,Schokokugel,100g,2.60   ,1.7,,"Шоколадые шарики, молочный шоколад  (сезонный артикль)"
c2ad4571-1621-40c8-91c3-bf4e5c7f6aac,Шоколад,Dammenberg Weihnachtsmann,160g,10.00   ,1.9,,Шоколадный Дед Мороз (сезонный артикль)
07c47f13-f0e1-4029-9b93-47286e3a833a,Шоколад,Osterhase Weiss ,100g,6.50   ,1.4,,"Шоколадный Пасхальный Заяц, белый шоколад (сезонный артикль)"
5cafdad7-fbb2-45c6-bee3-3ec556d5721d,Шоколад,Osterhase Rosa,100g,6.50   ,1.4,,"Шоколадный Пасхальный Заяц, розовый шоколад  (сезонный артикль)"
4e80ff30-75c0-4f6a-9897-44b5a103e1f6,Шоколад,Osterhase Original,100g,6.50   ,2.0,,"Шоколадный Пасхальный Заяц, молочный шоколад  (сезонный артикль)"
15e99ead-2de0-4b6f-b6ee-23935a47e4be,Шоколад,Moo Free Ostereier mit Überrasung,100g,5.35   ,2.2,,"Шоколадное Пасхальное яйцо с сюрпризом, молочный шоколад  (сезонный артикль)"
889674cd-b564-42de-8806-b9fda0a1bab4,Шоколад,Moo Free Ostereier mit Marshmallow,100g,5.35   ,1.8,,"Шоколадное Пасхальное яйцо с маршмело, молочный шоколад  (сезонный артикль)"
21a41f4d-5f21-4c44-bbda-9e1c49c9327a,Mevalia,Bread Mix,500g,6.10   ,,,Смесь для хлеба
697d74d6-3cf9-4d42-89ea-d4d0773116de,Mevalia,Pan Carré,300g,6.10   ,0.8,,Белый хлеб в нарезке
22fea496-a1c3-47c9-8c30-e12160b31f02,Mevalia,Pane Casereccio,220g,5.80   ,,,Серый хлеб в нарезке
77e1376b-d7f2-4e99-a013-f12705b91596,Mevalia,Ciabattine,260g,5.50   ,,,Булочки для завтрака
981595e0-ec41-4171-ab7c-b9cc1b96d0bf,Mevalia,Fette Tostate,120g,4.85   ,,,Хлебцы
03e7c785-8abb-4157-a653-09919ec73c88,Mevalia,Grissini,150g,5.10   ,,,Хлебные палочки
f3402fee-5a90-475e-a4b6-48218ac8ab49,Mevalia,Pizzaboden Mevalia,300g,7.95   ,,,Коржи для пиццы
908ce431-f564-465c-8867-1861bffe9f70,Mevalia,Penne Mevalia,500g,6.10   ,,,Макароны перья
914c93fa-260f-4d3d-b55c-e2780f9acd14,Mevalia,Fusilli Mevalia,500g,6.10   ,,,Макароны спиральки
bdc5138e-34c5-41e7-a15b-191d19dbc8ee,Mevalia,Spaghetti Mevalia,500g,6.10   ,,,Спагетти
6f3034ee-169c-48da-a61d-761c891be6fa,Mevalia,Ditali,500g,6.10   ,,,Макароны трубочки короткие
834a4143-f376-4e5f-8f46-118534ea38b2,Mevalia,Rice Mevalia,400g,5.50   ,,,Рис
9ad93a3e-aa89-491b-84af-4beb12f2c251,Mevalia,Choco Chip,200g,6.10   ,,,Печенье с шоколадной крошкой
f1751113-ad84-4703-a712-dfd2c3f45053,Mevalia,Frollini,200g,6.10   ,,,Печенье
d41f6495-81b8-455b-b965-625667d4f400,Mevalia,Burger Mix Mevalia,350g,8.55   ,,,Смесь для котлет
e133c822-f722-4a89-92cc-3a1c7b757293,Mevalia,Potato Püree,400g,9.95   ,,,Картофельное пюре
7cf35cbc-fadc-40dc-b3f8-a4a31dfd08b7,Mevalia,Fruit Bar,125g,6.10   ,,,Батончики-печенья с клубничной начинкой
c136bf3b-b990-4d28-b0f5-b1f37fad130b,Mevalia,Chokotino,100g,8.55   ,,,Плитка шоколада
aeac1213-2cef-46ea-8a17-8853167de5d8,Mevalia,Egg Replacer Mevalia,400g,14.50   ,,,Заменитель яиц
445a275a-9c8b-41fa-8b5b-99ae1e7115a5,Mevalia,Dr. Shär Gris & Ciocc,52g,2.45   ,3.6,,Палочки с шоколадной пастой
45342cc1-a4c7-4835-943f-835c7868dea5,Mevalia,Salzbrezeln Schär,60g,1.50   ,0.9,,Соленые крендельки
4c7d40de-8ad0-49ac-b497-2a3d77cee7c6,Mevalia,Salinissticks Schär,75g,1.95   ,0.9,,Соленые палочки
3764a184-c7fd-4662-9cdb-abd609111b15,Mevalia,Lattis Mevalia,500ml,8.55   ,,,Молоко жидкое
3f922cb2-5ec4-4468-a2e9-3bb0c239791f,Mevalia,Bon Matin,200g,3.60   ,2.9,,Булочки сладкие
75c3f23c-7daf-4aa9-8798-c3ae14bf6f7f,Mevalia,Salti,175g,3.50   ,2.3,,Печенья с морской солью
4c2db330-1fb1-4fba-8cd2-82e834014aed,Чипсы,Pombär chips original,75g,2.10   ,3.1,,"Чипсы детские без добавок ""Оригинальный вкус"""
c7ec46c8-c565-4b4a-aa8c-0c922a917398,Чипсы,Pombär chips ketchup,75g,2.10   ,3.2,,"Чипсы детские без добавок ""Вкус кетчупа"""
a2657f17-7968-4e0b-9b81-add0428c3fb7,Чипсы,Pombär chips sahne,75g,2.10   ,3.7,,"Чипсы детские без добавок ""Сливочный вкус"""
b9d07986-7295-4994-b76f-6ecd1e917eff,Чипсы,Teddy´s Hit,125g,1.80   ,3.1,,Чипсы соленые
62a63bfc-13ad-4098-bdbb-c63c49594cb5,Чипсы,Bravo,125g,1.80   ,3.1,,Чипсы в виде зверюшек
c55fda13-da01-411d-b98b-b56af2f6c21b,Чипсы,Ringli Paprika,100g,1.80   ,3.5,,Чипсы колечки с паприкой
0d7c631f-2828-4f36-a3ff-3585fbaacaaa,Чипсы,Pommels,75g,1.80   ,3.5,,Чипсы в виде переплетенной картофелины
4ce60011-82a3-410b-8dcb-21b498cdabde,Чипсы,Snack Salt,175g,2.00   ,3.1,,Чипсы соленые по типу Pringles
35cf597f-12b5-42b4-9e71-e2237da4f920,Чипсы,Snack Paprika,175g,2.00   ,3.5,,Чипсы по типу Pringles паприка
2b83f1c3-a2f1-4142-92ea-e4cd74b0478b,Чипсы,Snack Sweet Sour Creme,175g,2.00   ,3.6,,Чипсы по типу Pringles со вкусом сметаны
4e73404b-32c5-4085-a937-a55cf5879ab6,Чипсы,Sunnies,130g,1.70   ,3.1,,Чипсы соленые
7b7f8cff-e4d6-4a67-9cd0-aca349b4ba4e,Чипсы,Knabberspass chips,100g,1.70   ,3.1,,Чипсы в виде переплетенных фиругок
7bbd1bc2-2f4b-49c1-a1b8-033300d0d9ef,Конфеты разные и по типу *желатиновых* мишек ,Lach Gummi *Märchen Prinzen*,300g,2.50   ,0.0,,Конфеты сказочные принцы по типу желатиновых мишек с витаминами и соком фруктов 
cc5954c8-91a9-4b0f-a977-dfa79192d023,Конфеты разные и по типу *желатиновых* мишек ,Lach Gummi *Kiba&Co*,300g,2.50   ,0.0,,Конфеты смешные рожицы по типу желатиновых мишек с витаминами и соком фруктов 
e0bd56ff-9545-4c42-aea8-51d6d7110e74,Конфеты разные и по типу *желатиновых* мишек ,Lach Gummi *Party*,250g,2.50   ,2.4,,Конфеты приведения по типу желатиновых мишек с витаминами и соком фруктов 
abf1a73c-5e39-49f3-9351-6338c1233d15,Конфеты разные и по типу *желатиновых* мишек ,Lach Gummi *YoDinos*,300g,2.50   ,2.5,,Конфеты динозаврики по типу желатиновых мишек с витаминами и соком фруктов 
3f70cc77-b045-4958-8ab6-5021bc93f1e7,Конфеты разные и по типу *желатиновых* мишек ,Lach Gummi ,250g,2.20   ,0.0,,Конфеты по типу желатиновых мишек с витаминами и соком фруктов 
cff27ae2-e11d-4500-a8bc-aeaf8c3efb74,Конфеты разные и по типу *желатиновых* мишек ,Lach Gummi ,200g,1.80   ,0.0,,Конфеты по типу желатиновых мишек с витаминами и соком фруктов 
600e5023-d898-48fc-a8fe-21d8af841eef,Конфеты разные и по типу *желатиновых* мишек ,Katjes,250g,2.50   ,0.0,,Конфеты разные фигурки по типу желатиновых мишек  
3d79ef7e-7b23-4fa5-88ff-b37bbfc691d3,Конфеты разные и по типу *желатиновых* мишек ,Katjes,175g,1.80   ,0.0,,Конфеты разные фигурки по типу желатиновых мишек  
b0da2676-a776-4353-b33e-89d99c9679e1,Конфеты разные и по типу *желатиновых* мишек ,Haribo ,175g,1.80   ,"<0,5",,Конфеты разные фигурки по типу желатиновых мишек  
47f84775-3992-46e0-96df-337b24ca04b3,Конфеты разные и по типу *желатиновых* мишек ,Haribo Erdbeere,200g,1.80   ,2.7,,"Конфеты ""шнуры"" со вкусом клубники"
e0ce30cf-fb59-4b11-9223-ada0b1e2757c,Конфеты разные и по типу *желатиновых* мишек ,Haribo Waldbeere,200g,1.80   ,2.7,,"Конфеты ""шнуры"" со вкусом лесные ягоды"
9d2895e4-bb51-493f-85a3-adc32aca53ed,Конфеты разные и по типу *желатиновых* мишек ,Haribo Kirsche,200g,1.80   ,2.7,,"Конфеты ""шнуры"" со вкусом вишни"
fe754212-d6dc-4a36-b1fe-220a53b30a93,Конфеты разные и по типу *желатиновых* мишек ,Haribo Cola,200g,1.80   ,2.7,,"Конфеты ""шнуры"" со вкусом колы"
bfebfe01-8146-4158-9e2b-3528d6c41800,Конфеты разные и по типу *желатиновых* мишек ,Gummibärchen,500g,8.00   ,0.0,,"Конфеты мишки по типу желатиновых, ассорти"
6541b7b4-5da6-4054-b057-a6302de4f7b8,Конфеты разные и по типу *желатиновых* мишек ,Olivers Saure Bänder,400g,3.70   ,0.0,,"Конфеты ""шнуры"" в кислой обсыпке, вкусы яблоко, кола, клубника, вишня"
310d571e-3b90-41d8-9c69-0bb67eb21ad5,Конфеты разные и по типу *желатиновых* мишек ,Fritt ,70g,1.20   ,2.0,,"Жевательные конфеты с разными вкусами, малина, клубника, лесные ягоды, вишня, грейпфрукт, апельсин, лимон"
f5eab0da-a983-4fde-8a7b-4a213567ba99,Конфеты разные и по типу *желатиновых* мишек ,Fritt vegan,58g,1.20   ,0.0,,"Жевательные конфеты с разными вкусами, малина, клубника, лесные ягоды, вишня, грейпфрукт, апельсин, лимон"
18e683b4-e2dc-451c-81c3-a8addabfd743,Конфеты разные и по типу *желатиновых* мишек ,Starburst Original,152g,3.80   ,0.0,,"Жевательные конфеты с разными вкусами, малина, клубника, лесные ягоды, вишня, грейпфрукт, апельсин, лимон"
375db81f-fbdd-4072-8348-4e7fe6f8351a,Конфеты разные и по типу *желатиновых* мишек ,Marshmallow grill,300g,3.50   ,3.1,,Маршмелоу большие кусочки для гриля
7d337abb-1dfe-4c7f-b257-dc1eb92da6c3,Конфеты разные и по типу *желатиновых* мишек ,Marshmallow klein,100g,2.35   ,3.1,,"Маршмелоу маленькие кусочки, подходит также и для украшения тортов"
255c22b3-b96f-4ffa-9a90-f4481e656943,Balviten  ,Piekarz,500g,3.90   ,,,Мука для выпечки хлеба
e532a68d-d264-4ade-822e-1c325c1834ed,Balviten  ,Kucharz,500g,3.90   ,,,Мука 
9a47612f-5b70-4c7b-bd81-2f3f81f9648d,Balviten  ,Pizza,500g,5.15   ,,,Мука для изготовления пиццы
8a178ce1-6cbc-4295-8372-45e91dc28a7a,Balviten  ,Pyzy,500g,5.70   ,,,Смесь для клецок
c331c5c2-3ce3-413b-9216-3dd5c034d66b,Balviten  ,Extra koncentrat maki krakowskiej,500g,3.90   ,,,Мука Краковская 
1fe1ef63-ef2e-4513-a339-f1217b82b16d,Balviten  ,Mix for Bread gluten free,1000g,4.70   ,1.8,,"Смесь муки для хлеба,  без глютена"
d4703b64-626d-4a98-90fc-696c90d48073,Balviten  ,Zastepnik jajka Balviten,200g,7.10   ,,,Заменитель яиц
60affcd9-4b92-43ef-bc3a-0f664a0c4201,Balviten  ,Kajzerki,200g,3.70   ,,,Булочки для завтрака
50588cc0-daf0-4c95-965f-268cfad3fe3e,Balviten  ,Chleb jasny,300g,4.40   ,,,Хлеб белый
f57e7d70-9e4a-40dc-b7ce-3518b6ad03f4,Balviten  ,Chleb jasny,200g,3.70   ,,,Хлеб белый
acca95fa-a598-4bf4-b6be-415c90dc924d,Balviten  ,Chleb codzienny,300g,3.90   ,,,Хлеб на каждый день
63aad482-2ee0-4439-afd0-fb5aaf43cffb,Balviten  ,Chleb swojski,300g,3.90   ,,,Хлеб домашний
2b8224ec-df98-4174-99a1-5b266166d294,Balviten  ,Chlebus,250g,3.70   ,,,Хлеб 
a437359a-852b-44ac-a20c-6d372e761ea1,Balviten  ,Chlebus,500g,3.90   ,,,Хлеб 
e7f770e5-9fea-4979-896d-ad3e557e064f,Balviten  ,Chleb Premium,200g,3.90   ,,,Хлеб деревенский 
ed4bf286-477a-4a29-8a48-d8838eb25246,Balviten  ,Precle,120g,3.60   ,,,Крендель
aaaa498d-6c6a-4058-9dd4-7253458d3ea2,Balviten  ,Spagetti Balviten,250g,4.40   ,,,Спагетти косички
6200233e-0fba-4117-b910-0ebeaa72b3be,Balviten  ,Makaron nitka cienka,250g,4.40   ,,,Вермишель тонкая 
1b2a23ec-ea97-4dbd-bb89-67310ee62af5,Balviten  ,Makaron nitka gruba,250g,4.40   ,,,Вермишель толстая
3f765ef9-125b-4ee9-b5ac-1f06285e4bde,Balviten  ,Makaron swiderki,250g,4.40   ,,,Макароны спиральки
c5b21d68-92ca-4459-8316-e98ebfed3a96,Balviten  ,Makaron rurki,250g,4.40   ,,,Макароны трубочки
ef58a43f-04a3-4fda-80cb-a3e14125e80e,Balviten  ,Makaron wstazki,250g,4.40   ,,,Лапша длиная
7d7bf759-ec84-4e0e-8a69-269a69fd7fe2,Balviten  ,Makaron tasanka,250g,4.40   ,,,Лапша короткая
67805576-2266-491c-958d-db40552d492d,Balviten  ,Makaron zacierka,250g,6.00   ,,,Макароны по типу кус куса
5b134b6c-3741-48d0-b0b3-a947b85042b0,Balviten  ,Markizy Toffi,150g,4.40   ,0.8,,Печенья с карамелью Тоффи
e0ec43fb-de26-4eda-9e9d-1e1f77aabfc9,Balviten  ,Markizy kokos,150g,4.40   ,1.0,,Печенья с кокосом
b785cf2e-92e4-4822-aef5-19eaca7072ce,Balviten  ,Ciastka cynamonowe,150g,3.60   ,,,Печенья с корицей
bc0b4174-60de-4f65-a3d8-8f448c11af86,Balviten  ,Paluszki,70g,3.60   ,,,Соломка
1dcfc0e2-925b-42bc-ac07-db8b4b78b4cd,Balviten  ,Paluszki z sola,70g,3.60   ,,,Соломка с солью
e205b97c-b868-4db5-b34d-8c3a28ed7a25,Balviten  ,Paluszki z sola bezluten,70g,3.60   ,,,"Соломка с солью, без глютена"
e218b837-54c6-45c1-b07e-d6b500e9e15f,Balviten  ,Precelki,120g,3.90   ,,,Крендельки луковые
731d6595-3ba7-4c0d-976c-762cc7691f83,BEZGLUTEN,Mehl Extra Universalkonzentrat PKU,1000g,6.70   ,0.4,,"Мука экстра, универсальная "
3b77a295-6c84-4310-8399-3f30051ef243,BEZGLUTEN,Mehl Extra Universalkonzentratglutenfrei,1000g,7.40   ,0.6,,"Мука экстра, универсальная,  без глютена "
5ddea2c0-892a-4540-b568-beb4b5d79117,BEZGLUTEN,Multi Mix Flour PKU,1000g,6.25   ,"<0,3",,"Мука мульти микс, универсальная"
e60427b0-dd90-4adb-a23f-2d6474abf619,BEZGLUTEN,Multi Mix Flour glütenfrei,1000g,6.25   ,0.9,,"Мука мульти микс, универсальная,  без глютена"
c26d0c74-851e-4069-9ab9-f311406b9bb5,BEZGLUTEN,Bread Mix glutenfrei,1000g,7.80   ,1.9,,"Мука для хлеба и пиццы,  без глютена"
cb44b87c-d49b-42d3-afca-228c81c665a6,BEZGLUTEN,Bread Mix glutenfrei,500g,4.50   ,1.9,,"Мука для хлеба и пиццы,  без глютена"
be3784a2-cd30-4497-88c9-871d75363255,BEZGLUTEN,Pancake/Dumpling Mix glutenfrei,500g,4.20   ,2.1,,"Cмесь для пельменей, вареников, блинов,  без глютена  "
6ab62a6c-43d7-432f-8f64-9bfe0b8d73d8,BEZGLUTEN,Mix für Donuts und Berliner glütenfrei,400g,3.40   ,0.8,,"Cмесь для донатов и берлинеров,  без глютена  "
e7b9f895-06b3-4b07-b37b-9c0906534dd7,BEZGLUTEN,Mix für Pancakes & Waffeln glütenfrei,300g,2.60   ,1.1,,"Cмесь для панкейков и вафель,  без глютена  "
779f30c7-5d58-4141-924f-93dcf5e5f0c3,BEZGLUTEN,Babeczki PKU,250g,4.30   ,2.0,,Cмесь для изготовления маффинов
0292fe8f-2624-43bb-8742-e6b24356d1e7,BEZGLUTEN,Ei-Erzatz PKU Bezgluten,200g,7.00   ,0.3,,Заменитель яиц
92c001be-092d-422b-859c-74306e2de8e4,BEZGLUTEN,Bezgluten Tägliches Brot ,300g,5.00   ,1.0,,Хлеб на каждый день
ade7e8fe-b2b8-4ac2-985d-a85d99fe0d5f,BEZGLUTEN,Bezgluten Weissbrot ,300g,5.00   ,0.7,,Хлеб белый
f636eaf9-4c9b-44da-b7e7-88a6cdfdc55f,BEZGLUTEN,Pizzaboden Bezgluten,300g,4.70   ,0.6,,Коржи для пиццы
145aedaa-c558-4848-a231-a2da7f362967,BEZGLUTEN,Bezgluten Ciabatta ,140g,3.65   ,0.7,,
fca33cab-4103-41a7-823a-e6a9a3fb1261,BEZGLUTEN,Bezgluten Mini Baguettes ,240g,2.75   ,0.7,,
021ccc4f-50d4-4b9c-afc0-9b1a652b08a9,BEZGLUTEN,Bezgluten Markizy mit Kokosfüllüng,190g,4.90   ,1.7,,Маркизы с кокосовой начинкой
9b090286-ab4f-4ddc-b71d-331f2b706bc1,BEZGLUTEN,Bezgluten Markizy mit Toffifüllung ,160g,4.35   ,2.1,,Маркизы с начинкой тоффи
6ba59737-5531-4dab-95bc-2751e694cfa7,BEZGLUTEN,Kekse Ciasteczka ,150g,3.60   ,0.3,,Печенье сливочное 
85ac43ec-2480-4f09-b520-44dbbe8e7da0,BEZGLUTEN,Teegebäck Herbatniki,130g,3.40   ,0.4,,Печенье чайное 
4983a92a-8b38-48e4-92b1-c56f738f2f7a,BEZGLUTEN,Keksmischung,150g,3.90   ,0.3,,Печенье ассорти 
6723a6e8-372d-43e3-b54e-f37e9dc2ef2d,BEZGLUTEN,Gewürzkekse,150g,3.60   ,0.4,,"Пряное печенье, без глютена "
ef907029-9dbe-4f08-9e16-64242ef8c20c,BEZGLUTEN,Schokowaffeln ,90g,3.70   ,"<0,5",,"Вафельки шоколадные фирмы ""Bezgluten"""
7b9fb437-cd26-4249-aa23-d8b092eb77ad,BEZGLUTEN,Zitronenwaffeln ,90g,3.70   ,0.5,,"Вафельки лимонные фирмы ""Bezgluten"""
f166ca2c-22a5-4623-a843-fddff33b6966,BEZGLUTEN,Bezgluten Chips ,70g,3.90   ,1.4,,Чипсы 
baeec1b3-adbb-40fe-a3c8-8fb31e9e1805,BEZGLUTEN,Bezgluten Chips Paprika ,70g,3.90   ,2.2,,Чипсы с паприкой
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Desert Schokoladen-Banane,219g,7.15   ,,,
,,Desert Erdbeere-Vanile,219g,7.15   ,,,
,,Desert Vanillesoße,219g,7.15   ,,,
,,Desert Caramel,219g,7.15   ,,,
,,,,,,,
,,Sausagemix Apfel-Salbei,120g,7.80   ,0.8,,Сухая смесь для изготовления сосисок
,,Pasta in marokkanische Sauce ,288g,10.20   ,,,
,,,,,,,
,,Haribo Apple extra sour,200g,1.70   ,,,
,,Haribo Strawberry extra sour,200g,1.70   ,,,
,,,,,,,
,,Vegourmet Jeezini Hellas,200g,4.75   ,,,
,,Vegourmet Jeezini Santi,200g,4.75   ,,,
,,Frescolat MozzaRisella,200g,5.35   ,,,
,,,,,,,
,,Vitaflo VitaBite,175g,12.50   ,,,
,,,,,,,
,,,,,,,
,,CBF Mozzarella,907g,39.00   ,,,Сыр моцарелла тертый производство Америка
,,American Cheese Singles,300g,20.00   ,,,Сыр типа плавленный производство Америка
,,Swiss Cheese Singles,300g,20.00   ,,,Сыр типа плавленный швейцарский  производство Америка
